"Response_ID","Date_submitted","Last_page","Start_language","Seed","Date_started","Date_last_action","Do_you_commit_to_providing_thoughtful_answers_to_these_questions?","Are_you_currently_studying_at_a_university_level_or_higher?","How_old_are_you?","Have_you_ever_studied_at_university?","What's_the_name_of_the_university_where_you_last_studied?","What_level_of_attainment_did_you_reach_in_your_most_recent_university_experience?","What_was_the_name_of_your_degree?","Have_you_received_a_scholarship_during_your_most_recent_university_studies?","Who_provided_you_with_this_scholarship?","How_helpful_was_this_scholarship_to_you_and_the_completion_of_your_studies_on_a_scale_of_1_to_5? __1_=_Not_helpful_at_all5_=_Very_helpful_","Of_these,_who_do_you_think_benefits_or_from_scholarships?_[Student]","Of_these,_who_do_you_think_benefits_or_from_scholarships?_[Universities]","Of_these,_who_do_you_think_benefits_or_from_scholarships?_[Employers]","Of_these,_who_do_you_think_benefits_or_from_scholarships?_[Granting_organisation]","Of_these,_who_do_you_think_benefits_or_from_scholarships?_[Society_as_a_whole]","Of_these,_who_do_you_think_benefits_or_from_scholarships?_[Other]","How_would_you_evaluate_the_benefits_to_each_of_these_parties?_[Student]","How_would_you_evaluate_the_benefits_to_each_of_these_parties?_[Universities]","How_would_you_evaluate_the_benefits_to_each_of_these_parties?_[Employers]","How_would_you_evaluate_the_benefits_to_each_of_these_parties?_[Granting_organisations]","How_would_you_evaluate_the_benefits_to_each_of_these_parties?_[Society_as_a_whole]","How_would_you_evaluate_the_benefits_to_each_of_these_parties?_[{sshipBenefitFixed_other}]","Do_you_have_any_general_thoughts_about_scholarships_that_you_would_like_to_share?"
"2","2022-11-21 16:03:27","4","en","1844854470","2022-11-21 15:53:56","2022-11-21 16:03:27","Yes","Yes","29","N/A","Tai Solarin University of Education Ijagun, Nigeria ","Bachelor's degree","Bachelor of Science in Agriculture and Education ","No","","1","Yes","No","No","No","No","","3","","","","","","Scholarship is beneficial to students "
"3","2022-11-21 16:11:54","4","en","2072020626","2022-11-21 16:05:34","2022-11-21 16:11:54","Yes","Yes","31","N/A","Tai Solarin University of Education, Ijagun, Ogun State.","Bachelor's degree","BSc (Ed) Agricultural Science ","No","","5","Yes","No","No","No","No","","5","","","","","",""
"4","2022-11-21 19:39:41","4","fr","1498836935","2022-11-21 19:34:37","2022-11-21 19:39:41","Yes","No","29","Yes","Sorbonne Nouvelle ","Masters degree","Master de traduction ","No","","","Yes","Yes","Yes","No","Yes","","3","4","4","","5","",""
"6","2022-11-21 19:53:57","4","fr","1449990099","2022-11-21 19:53:02","2022-11-21 19:53:57","Yes","No","32","No","","","","N/A","","","Yes","Yes","No","No","Yes","","2","3","","","3","",""
"7","2022-11-21 20:00:54","4","fr","1169243241","2022-11-21 19:58:24","2022-11-21 20:00:54","Yes","Yes","64","N/A","Centre Sèvres ","Masters degree","Bac + 4","No","","","Yes","No","No","No","No","","3","","","","","",""
"8","2022-11-21 20:04:17","4","en","1367142032","2022-11-21 20:01:22","2022-11-21 20:04:17","Yes","Yes","24","N/A","UniLaSalle","Masters degree","Master of Science in Agriculture and Food Data Management","Yes","French Goverment","5","Yes","Yes","No","No","Yes","","5","4","","","3","",""
"10","2022-11-21 20:14:00","4","fr","504906879","2022-11-21 20:12:09","2022-11-21 20:14:00","Yes","No","25","Yes","","Masters degree","Master 2","Yes","Le Crous","5","Yes","Yes","No","No","Yes","","5","1","","","4","","Cela permet aux étudiants de poursuivre leurs  études plus longtemps. Sans ma bourse je n'aurais pas pu financièrement continuer mon Master "
"12","2022-11-21 23:20:22","4","fr","444425155","2022-11-21 23:18:18","2022-11-21 23:20:22","Yes","No","23","Yes","Université Paris Descartes","Bachelor's degree","Bac +3","No","","5","Yes","No","No","Yes","No","","5","","","1","","",""
"13","2022-11-22 08:56:01","4","fr","490675334","2022-11-22 08:54:37","2022-11-22 08:56:01","Yes","No","32","No","","","","N/A","","","Yes","No","No","Yes","No","","3","","","5","","",""
"14","2022-11-22 09:52:24","4","fr","281798791","2022-11-22 09:49:00","2022-11-22 09:52:24","Yes","No","36","Yes","Paris V","Masters degree","Master","No","","","Yes","No","No","No","No","","5","","","","","",""
"15","2022-11-22 16:18:47","4","en","336297552","2022-11-22 16:15:33","2022-11-22 16:18:47","Yes","Yes","34","N/A","Tai solarin universty","Masters degree","Multifunctional Agriculture ","No","","","Yes","No","No","No","No","","2","","","","","","No"
"18","2022-11-25 13:24:39","4","en","1457058545","2022-11-25 13:22:37","2022-11-25 13:24:39","Yes","No","31","Yes","The University of Sydney","Bachelor's degree","Bachelor of Horticultural Science","Yes","The university","3","Yes","Yes","Yes","No","No","","5","3","4","","","","They're a really great way to promote equality without compromising on student selection"
"19","2022-11-25 14:58:32","4","fr","320084382","2022-11-25 14:54:10","2022-11-25 14:58:32","Yes","Yes","32","N/A","INAT","","Diplôme National d'ingénieur","No","","3","Yes","Yes","Yes","No","No","","5","5","5","","","",""
"20","2022-11-25 15:10:18","4","en","131825346","2022-11-25 15:08:46","2022-11-25 15:10:18","Yes","Yes","28","N/A","UniLaSalle","Masters degree","Masters of Data Management ","Yes","","4","Yes","No","No","No","No","","3","","","","","",""
"22","2022-11-28 10:27:57","4","en","291827832","2022-11-28 10:27:21","2022-11-28 10:27:57","No","No","","No","","","","N/A","","","Yes","No","No","No","No","","5","","","","","","No"

